match_id,home_team,away_team,league,commence_time,status,bookmaker_count,best_home_odds,best_draw_odds,best_away_odds,avg_home_odds,avg_draw_odds,avg_away_odds,best_home_prob,best_draw_prob,best_away_prob,avg_home_prob,avg_draw_prob,avg_away_prob,home_value_diff,draw_value_diff,away_value_diff,home_score,away_score,outcome
20,Everton,Leeds United,English Premier League,2026-01-26T20:00:00+00:00,upcoming,13,2.58,3.45,3.15,2.4385,3.1577,2.95,0.3876,0.2899,0.3175,0.4101,0.3167,0.339,0.0225,0.0268,0.0215,,,
59,Girona,Getafe,La Liga,2026-01-26T20:00:00+00:00,upcoming,10,2.28,3.0,3.6,2.217,2.884,3.48,0.4386,0.3333,0.2778,0.4511,0.3467,0.2874,0.0125,0.0134,0.0096,,,
81,Hellas Verona,Udinese,Serie A,2026-01-26T19:45:00+00:00,upcoming,8,2.7,3.1,2.78,2.6813,2.9625,2.6838,0.3704,0.3226,0.3597,0.373,0.3376,0.3726,0.0026,0.015,0.0129,,,
58,Alavés,Real Betis,La Liga,2026-01-25T20:00:00+00:00,upcoming,9,3.05,3.1,2.5,2.9611,2.9778,2.4156,0.3279,0.3226,0.4,0.3377,0.3358,0.414,0.0098,0.0132,0.014,,,
80,AS Roma,AC Milan,Serie A,2026-01-25T19:45:00+00:00,upcoming,8,2.64,3.0,3.0,2.4862,2.9375,2.905,0.3788,0.3333,0.3333,0.4022,0.3404,0.3442,0.0234,0.0071,0.0109,,,
57,Real Sociedad,Celta Vigo,La Liga,2026-01-25T17:30:00+00:00,upcoming,9,2.0,3.4,3.8,1.9656,3.3056,3.6556,0.5,0.2941,0.2632,0.5088,0.3025,0.2736,0.0088,0.0084,0.0104,,,
79,Juventus,Napoli,Serie A,2026-01-25T17:00:00+00:00,upcoming,8,2.15,3.1,3.7,2.115,3.025,3.575,0.4651,0.3226,0.2703,0.4728,0.3306,0.2797,0.0077,0.008,0.0095,,,
19,Arsenal,Manchester United,English Premier League,2026-01-25T16:30:00+00:00,upcoming,14,1.5,4.6,7.5,1.4336,4.4493,6.6429,0.6667,0.2174,0.1333,0.6976,0.2248,0.1505,0.0309,0.0074,0.0172,,,
39,SC Freiburg,1. FC Köln,German Bundesliga,2026-01-25T16:30:00+00:00,upcoming,9,1.83,3.65,4.2,1.6256,2.9856,3.3467,0.5464,0.274,0.2381,0.6152,0.3349,0.2988,0.0687,0.061,0.0607,,,
56,Barcelona,Oviedo,La Liga,2026-01-25T15:15:00+00:00,upcoming,10,1.11,10.5,23.0,1.084,9.6,18.401,0.9009,0.0952,0.0435,0.9225,0.1042,0.0543,0.0216,0.0089,0.0109,,,
38,Borussia Monchengladbach,VfB Stuttgart,German Bundesliga,2026-01-25T14:30:00+00:00,upcoming,10,2.88,3.7,2.3,2.438,3.062,1.991,0.3472,0.2703,0.4348,0.4102,0.3266,0.5023,0.063,0.0563,0.0675,,,
16,Newcastle United,Aston Villa,English Premier League,2026-01-25T14:00:00+00:00,upcoming,14,2.08,3.8,3.5,2.0121,3.6,3.3607,0.4808,0.2632,0.2857,0.497,0.2778,0.2976,0.0162,0.0146,0.0118,,,
17,Brentford,Nottingham Forest,English Premier League,2026-01-25T14:00:00+00:00,upcoming,14,2.15,3.5,3.65,2.0893,3.3286,3.4429,0.4651,0.2857,0.274,0.4786,0.3004,0.2905,0.0135,0.0147,0.0165,,,
18,Crystal Palace,Chelsea,English Premier League,2026-01-25T14:00:00+00:00,upcoming,14,3.3,3.6,2.18,3.225,3.4571,2.1,0.303,0.2778,0.4587,0.3101,0.2893,0.4762,0.007,0.0115,0.0175,,,
77,Atalanta BC,Parma,Serie A,2026-01-25T14:00:00+00:00,upcoming,10,1.41,4.75,7.5,1.389,3.81,6.092,0.7092,0.2105,0.1333,0.7199,0.2625,0.1641,0.0107,0.0519,0.0308,,,
78,Genoa,Bologna,Serie A,2026-01-25T14:00:00+00:00,upcoming,10,3.1,3.05,2.4,2.642,2.577,2.114,0.3226,0.3279,0.4167,0.3785,0.388,0.473,0.0559,0.0602,0.0564,,,
55,Atlético Madrid,Mallorca,La Liga,2026-01-25T13:00:00+00:00,upcoming,10,1.29,5.7,11.0,1.247,5.37,10.4,0.7752,0.1754,0.0909,0.8019,0.1862,0.0962,0.0267,0.0108,0.0052,,,
